City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Grand Gaube,MU,75.99,shower rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
Mecca,SA,75.7,overcast clouds,21.43,39.83,Al Shohada Hotel MAKKAH
Miraflores,MX,82.4,scattered clouds,19.22,-98.81,Hotel Mansión
Bosaso,SO,83.95,overcast clouds,11.28,49.18,Red Sea Hotel
Cam Ranh,VN,80.6,few clouds,11.92,109.16,OYO 598 Peony Hotel
Vung Tau,VN,80.82,clear sky,10.35,107.08,Seaside Resort
Chorozinho,BR,86.0,few clouds,-4.3,-38.5,Casa da Mar
Presidencia Roque Saenz Pena,AR,79.93,clear sky,-26.79,-60.44,Hotel Aconcagua
Champerico,GT,87.49,few clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
Paoua,CF,77.81,overcast clouds,7.24,16.44,Quartier Paoua Elien
Bria,CF,77.63,broken clouds,6.54,21.99,
Rio Grande,BR,77.0,few clouds,-32.03,-52.1,Swan Express Rio Grande
Sao Miguel Do Iguacu,BR,82.4,clear sky,-25.35,-54.24,Hotel Itaguaçu
Saint Marys,US,82.0,scattered clouds,30.73,-81.55,Spencer House Inn
Alofi,NU,82.4,broken clouds,-19.06,-169.92,Taloa Heights
San Andres,CO,87.8,few clouds,12.58,-81.7,Hotel Arena Blanca
Manokwari,ID,81.05,scattered clouds,-0.87,134.08,Swiss Belhotel Manokwari
Kununurra,AU,75.2,overcast clouds,-15.77,128.73,Hotel Kununurra
Port Hedland,AU,75.2,broken clouds,-20.32,118.57,The Esplanade Hotel
Yulara,AU,75.2,few clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
Bubaque,GW,77.41,broken clouds,11.28,-15.83,Casa Dora
Matara,LK,78.04,scattered clouds,5.95,80.54,Amaloh Boutique Resort
Basco,PH,80.15,overcast clouds,20.45,121.97,Nathaniel's Lodge
Pisco,PE,77.0,clear sky,-13.7,-76.22,Hostal San Isidro Oficial
Kudahuvadhoo,MV,84.63,scattered clouds,2.67,72.89,Kudahuvadhoo Retreat
Soyapango,SV,89.6,haze,13.73,-89.15,CASA MISIONERA MCA
Huarmey,PE,77.76,clear sky,-10.07,-78.15,Hotel Miramar
Bairiki,KI,82.4,shower rain,1.33,172.98,Tarawa Boutique Hotel
Soyo,AO,80.42,overcast clouds,-6.13,12.37,Hotel Mpampa
Kuah,MY,80.6,few clouds,6.33,99.84,Azio Hotel
Dwarka,IN,80.51,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
Veraval,IN,80.22,clear sky,20.9,70.37,Lords Inn Somnath
Kailua,US,82.4,clear sky,21.4,-157.74,Sheffield House Bed & Breakfast
Ugoofaaru,MV,85.95,clear sky,5.67,73.0,Ungoofaaru Inn
