City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
Stokmarknes,NO,2020-04-19 21:01:09,68.56,14.91,41.0,88,100,8.01,light rain,0.43,0.0
Coquimbo,CL,2020-04-19 21:01:09,-29.95,-71.34,60.8,87,75,12.75,broken clouds,0.0,0.0
Batagay,RU,2020-04-19 21:01:10,67.63,134.63,6.31,87,89,3.58,overcast clouds,0.0,0.0
Guarapari,BR,2020-04-19 21:00:12,-20.67,-40.5,75.99,73,40,14.99,scattered clouds,0.0,0.0
Gamba,GA,2020-04-19 21:01:12,-2.65,10.0,79.11,84,100,10.31,moderate rain,6.78,0.0
Bobrovka,RU,2020-04-19 21:01:12,54.05,61.75,44.53,59,79,5.44,broken clouds,0.0,0.0
Kinkala,CG,2020-04-19 21:01:13,-4.36,14.76,80.6,78,97,4.7,overcast clouds,0.0,0.0
Pacifica,US,2020-04-19 21:01:14,37.61,-122.49,63.0,51,75,11.41,broken clouds,0.0,0.0
Alta Floresta,BR,2020-04-19 20:59:54,-9.88,-56.09,77.0,94,40,2.24,light rain,0.0,0.0
Christchurch,NZ,2020-04-19 21:00:02,-43.53,172.63,51.8,53,62,6.93,broken clouds,0.0,0.0
Nikolskoye,RU,2020-04-19 21:01:16,59.7,30.79,39.2,90,75,6.71,light rain,0.0,0.0
Saskylakh,RU,2020-04-19 21:01:17,71.92,114.08,12.06,94,0,3.33,clear sky,0.0,0.0
Kapit,MY,2020-04-19 21:01:17,2.02,112.93,74.43,92,100,0.25,overcast clouds,0.0,0.0
Bocaiuva,BR,2020-04-19 20:58:36,-17.11,-43.81,69.57,66,50,6.87,scattered clouds,0.0,0.0
Victoria,HK,2020-04-19 20:57:05,22.29,114.16,75.99,88,94,3.0,overcast clouds,0.0,0.0
Fortuna,US,2020-04-19 21:01:20,40.6,-124.16,59.0,76,1,12.75,clear sky,0.0,0.0
Ternate,ID,2020-04-19 21:01:20,0.8,127.4,80.31,77,37,2.42,scattered clouds,0.0,0.0
Mahon,ES,2020-04-19 21:01:21,39.89,4.27,60.8,100,100,8.05,light rain,0.0,0.0
Maun,BW,2020-04-19 21:01:22,-19.98,23.42,73.4,46,4,8.05,clear sky,0.0,0.0
Salair,RU,2020-04-19 21:01:23,54.23,85.8,43.75,68,71,1.45,broken clouds,0.0,0.0
Hanstholm,DK,2020-04-19 21:01:23,57.12,8.62,46.0,86,0,5.57,clear sky,0.0,0.0
Ahipara,NZ,2020-04-19 21:01:24,-35.17,173.17,61.61,88,100,6.44,light rain,2.69,0.0
Lompoc,US,2020-04-19 20:57:48,34.64,-120.46,62.6,59,90,12.75,overcast clouds,0.0,0.0
Sri Aman,MY,2020-04-19 21:01:25,1.24,111.46,78.8,100,92,1.05,overcast clouds,0.0,0.0
Anadyr,RU,2020-04-19 21:01:26,64.75,177.48,17.6,85,40,2.24,light snow,0.0,0.0
Kholmogory,RU,2020-04-19 21:01:27,64.22,41.66,32.0,97,90,6.71,overcast clouds,0.0,0.0
Saurimo,AO,2020-04-19 21:01:28,-9.66,20.39,64.65,71,69,1.92,light rain,2.28,0.0
Kilindoni,TZ,2020-04-19 21:01:28,-7.91,39.67,82.2,78,79,14.99,light rain,0.7,0.0
Dingle,PH,2020-04-19 21:01:28,11.0,122.67,79.23,86,78,9.95,light rain,0.27,0.0
Birjand,IR,2020-04-19 21:01:29,32.87,59.22,55.4,62,0,4.7,clear sky,0.0,0.0
Namibe,AO,2020-04-19 20:56:38,-15.2,12.15,75.06,63,5,7.07,light rain,0.22,0.0
Knoxville,US,2020-04-19 20:56:42,35.96,-83.92,66.99,48,75,5.82,broken clouds,0.0,0.0
Gayeri,BF,2020-04-19 21:01:31,12.65,0.49,91.06,33,91,9.48,overcast clouds,0.0,0.0
San Patricio,MX,2020-04-19 21:01:31,19.22,-104.7,78.8,69,5,13.87,clear sky,0.0,0.0
Falavarjan,IR,2020-04-19 21:01:32,32.56,51.51,55.4,66,31,4.7,scattered clouds,0.0,0.0
Panaba,MX,2020-04-19 21:01:33,21.28,-88.27,98.98,26,46,13.65,scattered clouds,0.0,0.0
Herat,AF,2020-04-19 21:01:34,34.5,62.0,57.2,67,0,3.36,clear sky,0.0,0.0
Faanui,PF,2020-04-19 21:01:34,-16.48,-151.75,83.21,74,67,14.52,light rain,1.35,0.0
Karbinci,MK,2020-04-19 21:01:35,41.82,22.24,59.0,62,95,2.24,overcast clouds,0.0,0.0
Santiago,CL,2020-04-19 21:00:03,-33.46,-70.65,84.2,30,0,5.82,clear sky,0.0,0.0
San Cristobal,VE,2020-04-19 21:01:37,7.77,-72.22,91.4,49,40,5.82,smoke,0.0,0.0
Mahibadhoo,MV,2020-04-19 21:01:37,3.78,72.97,84.56,76,62,10.71,light rain,1.7,0.0
Beachwood,US,2020-04-19 21:01:38,41.46,-81.51,57.99,54,90,16.11,overcast clouds,0.0,0.0
Lagunas,PE,2020-04-19 21:01:38,-5.23,-75.68,89.69,38,0,3.74,clear sky,0.0,0.0
La Rioja,ES,2020-04-19 21:01:39,42.25,-2.5,53.6,87,40,8.05,scattered clouds,0.0,0.0
Manoel Urbano,BR,2020-04-19 21:01:40,-8.84,-69.26,87.66,48,17,2.3,few clouds,0.0,0.0
Churachandpur,IN,2020-04-19 21:01:41,24.33,93.67,62.83,55,67,0.76,light rain,0.19,0.0
Ratlam,IN,2020-04-19 21:01:41,23.32,75.07,78.78,25,100,7.61,overcast clouds,0.0,0.0
Nizhniy Tsasuchey,RU,2020-04-19 21:01:42,50.52,115.13,19.35,78,0,13.47,clear sky,0.0,0.0
Henties Bay,NA,2020-04-19 21:01:43,-22.12,14.28,57.99,93,0,3.0,clear sky,0.0,0.0
Bilibino,RU,2020-04-19 21:01:44,68.05,166.44,4.78,78,86,2.82,overcast clouds,0.0,0.0
Birao,CF,2020-04-19 21:01:44,10.28,22.79,84.25,12,36,1.92,scattered clouds,0.0,0.0
Juneau,US,2020-04-19 21:01:45,58.3,-134.42,55.4,50,75,13.87,broken clouds,0.0,0.0
Mocuba,MZ,2020-04-19 21:01:46,-16.84,36.99,68.86,94,17,5.37,light rain,0.15,0.0
Hudson Bay,CA,2020-04-19 21:01:46,52.85,-102.38,41.05,62,92,17.22,overcast clouds,0.0,0.0
Balkhash,KZ,2020-04-19 21:01:47,46.84,74.98,57.96,32,0,8.77,clear sky,0.0,0.0
Maracaju,BR,2020-04-19 21:01:48,-21.61,-55.17,77.34,52,23,3.02,few clouds,0.0,0.0
Axim,GH,2020-04-19 21:01:49,4.87,-2.24,82.53,80,98,8.25,overcast clouds,0.0,0.0
Tura,IN,2020-04-19 21:01:49,25.52,90.22,70.16,81,16,4.16,light rain,0.25,0.0
Cidreira,BR,2020-04-19 21:01:50,-30.18,-50.21,68.86,79,0,13.82,clear sky,0.0,0.0
Abaete,BR,2020-04-19 21:01:51,-19.16,-45.45,69.6,74,79,5.82,light rain,1.07,0.0
Chichibu,JP,2020-04-19 21:01:49,35.99,139.08,46.4,93,90,6.13,light intensity drizzle,0.0,0.0
Gat,IL,2020-04-19 21:01:52,31.61,34.76,69.01,14,1,11.36,clear sky,0.0,0.0
Balsas,BR,2020-04-19 21:00:08,-7.53,-46.04,78.39,79,29,3.33,light rain,1.43,0.0
Sarkand,KZ,2020-04-19 21:01:53,45.41,79.92,49.39,34,0,3.85,clear sky,0.0,0.0
Tual,ID,2020-04-19 21:01:54,-5.67,132.75,83.97,72,1,6.8,clear sky,0.0,0.0
Vila Velha,BR,2020-04-19 20:58:41,-20.33,-40.29,75.99,73,40,14.99,scattered clouds,0.0,0.0
Amahai,ID,2020-04-19 21:01:55,-3.33,128.92,80.67,77,87,1.68,moderate rain,4.04,0.0
Taoudenni,ML,2020-04-19 21:01:56,22.68,-3.98,81.66,17,0,12.3,clear sky,0.0,0.0
Asau,RO,2020-04-19 21:01:56,46.43,26.4,46.4,87,75,12.75,light rain,0.0,0.0
Sola,VU,2020-04-19 21:01:57,-13.88,167.55,82.49,76,39,8.08,light rain,1.68,0.0
Tabas,IR,2020-04-19 21:01:57,33.6,56.92,69.75,31,1,2.62,clear sky,0.0,0.0
Vanimo,PG,2020-04-19 21:01:58,-2.67,141.3,81.32,79,100,0.69,light rain,2.52,0.0
Raton,US,2020-04-19 21:01:58,36.9,-104.44,64.4,30,40,10.29,scattered clouds,0.0,0.0
Tuatapere,NZ,2020-04-19 21:01:59,-46.13,167.68,46.0,81,53,4.0,broken clouds,0.0,0.0
Tatawin,TN,2020-04-19 21:02:00,32.93,10.45,89.6,13,100,3.36,overcast clouds,0.0,0.0
Santa Cruz,BO,2020-04-19 21:02:01,-17.8,-63.17,91.4,31,20,5.82,few clouds,0.0,0.0
Buldana,IN,2020-04-19 21:02:02,20.53,76.18,83.1,21,53,3.6,broken clouds,0.0,0.0
Belyy Yar,RU,2020-04-19 21:02:03,53.6,91.39,41.0,48,0,11.18,clear sky,0.0,0.0
Navahrudak,BY,2020-04-19 21:02:03,53.6,25.83,32.22,83,0,6.4,clear sky,0.0,0.0
Ukholovo,RU,2020-04-19 21:02:04,53.79,40.49,32.0,86,100,3.51,overcast clouds,0.0,0.0
Oudtshoorn,ZA,2020-04-19 21:02:05,-33.59,22.2,62.6,67,0,4.7,clear sky,0.0,0.0
Kaeo,NZ,2020-04-19 21:02:05,-35.1,173.78,60.01,97,100,1.01,light rain,1.54,0.0
Palmer,US,2020-04-19 20:58:59,42.16,-72.33,62.6,47,75,17.22,broken clouds,0.0,0.0
Husavik,IS,2020-04-19 21:02:07,66.04,-17.34,46.4,70,63,23.04,broken clouds,0.0,0.0
Boyabat,TR,2020-04-19 21:02:07,41.47,34.77,57.29,50,100,1.34,overcast clouds,0.0,0.0
Hamilton,US,2020-04-19 20:59:32,39.18,-84.53,57.99,54,90,8.05,light rain,0.0,0.0
Bac Lieu,VN,2020-04-19 21:02:09,9.29,105.72,80.47,76,0,6.31,clear sky,0.0,0.0
Yaan,NG,2020-04-19 21:02:09,7.38,8.57,81.27,67,100,11.88,light rain,0.64,0.0
Sonoita,MX,2020-04-19 21:02:10,31.85,-112.83,79.0,24,75,9.04,broken clouds,0.0,0.0
Potiskum,NG,2020-04-19 21:02:11,11.71,11.07,83.7,12,62,5.99,broken clouds,0.0,0.0
General Roca,AR,2020-04-19 21:02:11,-39.03,-67.58,77.0,29,98,7.23,overcast clouds,0.0,0.0
Vanavara,RU,2020-04-19 21:02:12,60.34,102.28,19.0,92,0,1.9,clear sky,0.0,0.0
Forbes,AU,2020-04-19 21:02:13,-33.38,148.02,55.0,68,100,5.66,overcast clouds,0.0,0.0
Geraldton,AU,2020-04-19 21:02:13,-28.77,114.6,55.4,93,0,9.17,clear sky,0.0,0.0
Linjiang,CN,2020-04-19 21:02:14,41.81,126.91,41.97,71,99,4.14,overcast clouds,0.0,0.0
Namatanai,PG,2020-04-19 21:02:15,-3.67,152.43,82.09,77,76,5.86,broken clouds,0.0,0.0
Tres Picos,MX,2020-04-19 21:02:16,15.87,-93.53,84.6,62,90,4.41,light rain,0.61,0.0
Banamba,ML,2020-04-19 21:02:16,13.55,-7.45,93.97,22,33,8.37,scattered clouds,0.0,0.0
Necochea,AR,2020-04-19 21:02:17,-38.55,-58.74,66.0,80,42,4.0,scattered clouds,0.0,0.0
Puerto Escondido,MX,2020-04-19 21:02:17,15.85,-97.07,87.8,74,5,9.17,clear sky,0.0,0.0
Cotonou,BJ,2020-04-19 21:02:18,6.37,2.42,82.4,78,40,9.17,scattered clouds,0.0,0.0
Port Lincoln,AU,2020-04-19 21:02:19,-34.73,135.87,61.27,65,100,17.22,overcast clouds,0.0,0.0
Kidal,ML,2020-04-19 21:02:20,18.44,1.41,87.33,11,99,4.03,overcast clouds,0.0,0.0
Ipixuna,BR,2020-04-19 21:02:01,-1.76,-48.8,80.6,88,75,2.24,broken clouds,0.0,0.0
Kokkola,FI,2020-04-19 21:02:21,63.84,23.13,39.0,88,4,3.36,clear sky,0.0,0.0
Ilijas,BA,2020-04-19 21:02:22,43.95,18.27,56.57,68,100,0.56,light rain,1.13,0.0
Lincoln,US,2020-04-19 21:02:22,40.8,-96.67,64.4,31,1,12.75,clear sky,0.0,0.0
San Policarpo,PH,2020-04-19 21:02:23,12.18,125.51,81.63,84,90,14.05,light rain,0.12,0.0
Davila,PH,2020-04-19 21:02:23,18.47,120.58,79.97,79,92,4.83,overcast clouds,0.0,0.0
Payo,ID,2020-04-19 21:02:24,-3.75,103.64,74.21,88,86,1.54,overcast clouds,0.0,0.0
Petropavlovsk-Kamchatskiy,RU,2020-04-19 20:58:05,53.05,158.65,28.4,33,32,11.18,scattered clouds,0.0,0.0
Bambous Virieux,MU,2020-04-19 21:02:25,-20.34,57.76,75.99,88,75,6.93,shower rain,0.0,0.0
Likasi,CD,2020-04-19 21:02:26,-10.98,26.73,62.08,65,1,5.82,clear sky,0.0,0.0
Le Port,RE,2020-04-19 21:02:27,-20.94,55.29,75.2,73,14,14.99,light rain,0.14,0.0
Grindavik,IS,2020-04-19 21:02:27,63.84,-22.43,46.4,93,90,29.97,light intensity drizzle,0.0,0.0
Lorengau,PG,2020-04-19 21:02:28,-2.02,147.27,82.54,78,40,6.29,light rain,0.28,0.0
Muros,ES,2020-04-19 21:02:28,42.78,-9.06,55.99,85,54,4.79,broken clouds,0.0,0.0
Wolomin,PL,2020-04-19 21:02:29,52.34,21.24,48.0,53,35,7.87,scattered clouds,0.0,0.0
Torbay,CA,2020-04-19 21:02:30,47.67,-52.73,35.01,92,90,32.21,light rain,0.0,0.0
Misratah,LY,2020-04-19 21:02:31,32.38,15.09,66.97,60,100,23.44,overcast clouds,0.0,0.0
Ravar,IR,2020-04-19 21:02:31,31.27,56.81,64.74,39,69,1.12,broken clouds,0.0,0.0
Kapitanivka,UA,2020-04-19 21:02:32,48.92,31.72,42.37,58,63,2.71,broken clouds,0.0,0.0
Barma,SL,2020-04-19 21:02:33,8.35,-11.33,77.9,81,100,3.94,light rain,2.32,0.0
Caucaia,BR,2020-04-19 21:02:15,-3.74,-38.65,86.0,66,20,6.93,few clouds,0.0,0.0
Cabo San Lucas,MX,2020-04-19 21:02:34,22.89,-109.91,77.0,50,5,10.29,clear sky,0.0,0.0
Harper,LR,2020-04-19 21:02:35,4.38,-7.72,82.0,82,100,7.36,overcast clouds,0.0,0.0
Tabu,PH,2020-04-19 21:02:36,9.89,122.71,77.36,79,26,9.24,scattered clouds,0.0,0.0
Kharsia,IN,2020-04-19 21:02:37,21.97,83.12,80.96,34,45,4.18,scattered clouds,0.0,0.0
North Bend,US,2020-04-19 21:02:37,43.41,-124.22,60.01,66,1,11.41,clear sky,0.0,0.0
Barra Dos Coqueiros,BR,2020-04-19 21:02:38,-10.91,-37.04,82.4,78,40,8.05,scattered clouds,0.0,0.0
Saint-Philippe,RE,2020-04-19 21:02:39,-21.36,55.77,75.2,69,75,18.34,broken clouds,0.0,0.0
Ostersund,SE,2020-04-19 21:02:40,63.18,14.64,35.6,82,13,10.29,few clouds,0.0,0.0
Umm Lajj,SA,2020-04-19 21:02:40,25.02,37.27,75.81,44,0,4.07,clear sky,0.0,0.0
Ponta Do Sol,PT,2020-04-19 21:02:41,32.67,-17.1,59.0,56,26,3.0,scattered clouds,0.0,0.0
Yatou,CN,2020-04-19 21:02:42,37.15,122.38,47.52,91,47,12.5,light rain,0.11,0.0
La Solana,ES,2020-04-19 21:02:42,38.94,-3.24,53.01,90,86,1.99,light rain,1.66,0.0
Sabha,LY,2020-04-19 21:02:43,27.04,14.43,83.37,15,3,20.38,clear sky,0.0,0.0
Mendoza,AR,2020-04-19 21:00:03,-32.89,-68.83,80.6,36,0,6.93,clear sky,0.0,0.0
Kalmunai,LK,2020-04-19 21:02:44,7.42,81.82,81.82,80,67,5.75,broken clouds,0.0,0.0
Mankato,US,2020-04-19 20:58:35,44.16,-94.0,53.01,31,1,12.75,clear sky,0.0,0.0
Weligama,LK,2020-04-19 21:02:46,5.97,80.42,78.3,88,23,6.22,few clouds,0.0,0.0
Arman,RU,2020-04-19 21:02:46,59.7,150.17,4.1,84,0,8.34,clear sky,0.0,0.0
Oistins,BB,2020-04-19 21:02:47,13.07,-59.53,84.2,62,40,19.46,scattered clouds,0.0,0.0
Tezu,IN,2020-04-19 21:02:48,27.92,96.17,65.35,70,100,4.23,light rain,2.45,0.0
Homer,US,2020-04-19 21:02:48,59.64,-151.55,48.2,70,90,8.05,overcast clouds,0.0,0.0
Portland,US,2020-04-19 20:59:22,45.52,-122.68,62.01,50,75,3.36,broken clouds,0.0,0.0
San Julian,MX,2020-04-19 21:02:50,21.02,-102.17,86.99,11,0,14.83,clear sky,0.0,0.0
Beaverlodge,CA,2020-04-19 21:02:51,55.22,-119.44,59.0,43,20,11.41,few clouds,0.0,0.0
Sinnamary,GF,2020-04-19 21:02:51,5.38,-52.95,80.55,82,95,15.64,moderate rain,3.25,0.0
Senneterre,CA,2020-04-19 21:02:52,48.38,-77.23,26.6,58,75,12.75,broken clouds,0.0,0.0
Iguape,BR,2020-04-19 21:02:52,-24.71,-47.56,71.01,76,9,6.26,clear sky,0.0,0.0
Zemio,CF,2020-04-19 21:02:53,5.03,25.14,73.27,69,100,8.99,overcast clouds,0.0,0.0
Imbituba,BR,2020-04-19 21:00:39,-28.24,-48.67,73.4,56,20,9.17,few clouds,0.0,0.0
Leshukonskoye,RU,2020-04-19 21:02:13,64.9,45.76,31.96,97,100,4.23,light snow,0.0,0.53
Mitsamiouli,KM,2020-04-19 21:02:55,-11.38,43.28,83.07,74,79,17.81,broken clouds,0.0,0.0
Shimoda,JP,2020-04-19 21:02:56,34.67,138.95,50.0,93,100,1.01,light rain,1.36,0.0
Ust-Kuyga,RU,2020-04-19 21:02:56,70.02,135.6,4.84,92,18,6.89,few clouds,0.0,0.0
Vestmannaeyjar,IS,2020-04-19 21:02:57,63.44,-20.27,46.0,93,100,30.76,light rain,0.48,0.0
Salinas,US,2020-04-19 21:02:57,36.68,-121.66,62.6,59,20,8.05,few clouds,0.0,0.0
Butterworth,MY,2020-04-19 21:02:58,5.4,100.36,78.8,94,20,4.7,few clouds,0.0,0.0
Porto Novo,BJ,2020-04-19 21:02:08,6.5,2.6,82.4,78,40,9.17,scattered clouds,0.0,0.0
Winslow,US,2020-04-19 21:03:00,35.02,-110.7,68.0,24,40,9.17,scattered clouds,0.0,0.0
Touros,BR,2020-04-19 21:01:41,-5.2,-35.46,82.4,78,20,10.29,few clouds,0.0,0.0
Abu Dhabi,AE,2020-04-19 21:00:07,24.47,54.37,84.2,39,82,3.36,light rain,0.11,0.0
Mangrol,IN,2020-04-19 20:59:35,21.12,70.12,79.97,65,2,11.54,clear sky,0.0,0.0
Dunedin,NZ,2020-04-19 21:01:29,-45.87,170.5,48.78,60,50,10.11,scattered clouds,0.0,0.0
Paragominas,BR,2020-04-19 21:03:03,-2.97,-47.48,77.77,89,75,2.19,moderate rain,3.1,0.0
Aguimes,ES,2020-04-19 21:03:03,27.91,-15.45,66.2,63,20,14.99,few clouds,0.0,0.0
Methven,NZ,2020-04-19 21:03:04,-43.63,171.65,55.0,65,20,1.99,few clouds,0.0,0.0
Sayyan,YE,2020-04-19 21:03:05,15.17,44.32,61.03,35,94,1.36,light rain,0.19,0.0
Pyshchug,RU,2020-04-19 21:03:06,58.89,45.71,32.7,87,14,0.85,few clouds,0.0,0.0
Atar,MR,2020-04-19 21:03:06,20.52,-13.05,75.74,17,0,9.08,clear sky,0.0,0.0
Pinega,RU,2020-04-19 21:03:07,64.7,43.39,31.73,99,100,4.74,light snow,0.0,0.26
Nishihara,JP,2020-04-19 21:03:08,26.18,127.76,73.4,88,75,16.11,broken clouds,0.0,0.0
Lima,PE,2020-04-19 20:58:57,-12.04,-77.03,75.2,64,28,10.29,scattered clouds,0.0,0.0
Port Macquarie,AU,2020-04-19 21:03:09,-31.43,152.92,55.99,97,9,5.61,clear sky,0.0,0.0
Elk Point,US,2020-04-19 21:03:10,42.68,-96.68,55.99,53,97,8.99,overcast clouds,0.0,0.0
Chiknayakanhalli,IN,2020-04-19 21:03:11,13.42,76.62,78.62,29,15,5.32,few clouds,0.0,0.0
Viedma,AR,2020-04-19 21:00:44,-40.81,-63.0,66.83,32,46,4.99,scattered clouds,0.0,0.0
Praia,CV,2020-04-19 21:01:12,14.92,-23.51,73.4,64,20,19.46,few clouds,0.0,0.0
Sergeyevka,KZ,2020-04-19 21:03:13,53.88,67.42,46.2,69,98,2.98,overcast clouds,0.0,0.0
Constitucion,CL,2020-04-19 21:03:13,-35.33,-72.42,64.09,52,81,17.76,broken clouds,0.0,0.0
Selfoss,IS,2020-04-19 21:03:14,63.93,-21.0,46.4,93,90,24.16,light intensity drizzle,0.0,0.0
Ambilobe,MG,2020-04-19 21:03:15,-13.2,49.05,73.31,88,41,4.29,scattered clouds,0.0,0.0
Grand Gaube,MU,2020-04-19 21:03:16,-20.01,57.66,75.99,88,75,6.93,shower rain,0.0,0.0
Mecca,SA,2020-04-19 21:00:03,21.43,39.83,75.7,70,100,0.29,overcast clouds,0.0,0.0
Nassjo,SE,2020-04-19 21:03:18,57.65,14.7,39.99,80,8,3.06,clear sky,0.0,0.0
Zyryanka,RU,2020-04-19 21:03:18,65.75,150.85,0.39,86,0,4.52,clear sky,0.0,0.0
Miraflores,MX,2020-04-19 21:03:19,19.22,-98.81,82.4,28,40,3.36,scattered clouds,0.0,0.0
Hay River,CA,2020-04-19 21:00:23,60.82,-115.8,30.2,80,90,5.82,overcast clouds,0.0,0.0
Bosaso,SO,2020-04-19 21:02:01,11.28,49.18,83.95,67,96,2.71,overcast clouds,0.0,0.0
Chumikan,RU,2020-04-19 21:03:21,54.72,135.31,21.58,95,100,11.05,snow,0.0,1.84
Gold Coast,AU,2020-04-19 21:03:22,-28.0,153.43,61.0,93,1,4.7,clear sky,0.0,0.0
Cam Ranh,VN,2020-04-19 21:03:23,11.92,109.16,80.6,100,20,3.36,few clouds,0.0,0.0
Paramonga,PE,2020-04-19 21:03:23,-10.67,-77.83,74.62,69,29,10.47,scattered clouds,0.0,0.0
Vung Tau,VN,2020-04-19 21:03:24,10.35,107.08,80.82,80,1,10.11,clear sky,0.0,0.0
Marrakesh,MA,2020-04-19 21:03:25,31.63,-8.01,64.4,55,75,11.41,broken clouds,0.0,0.0
Talcahuano,CL,2020-04-19 20:58:37,-36.72,-73.12,66.2,63,100,14.99,overcast clouds,0.0,0.0
Navodari,RO,2020-04-19 21:03:27,44.32,28.6,52.0,87,98,10.29,mist,0.0,0.0
Chorozinho,BR,2020-04-19 21:03:27,-4.3,-38.5,86.0,66,20,6.93,few clouds,0.0,0.0
Zaozerne,UA,2020-04-19 21:03:28,45.16,33.28,49.98,91,100,8.32,moderate rain,4.21,0.0
Xining,CN,2020-04-19 21:03:28,36.62,101.77,39.94,27,100,3.6,overcast clouds,0.0,0.0
Santa Ana,US,2020-04-19 20:59:16,33.75,-117.87,68.0,52,75,11.41,broken clouds,0.0,0.0
Presidencia Roque Saenz Pena,AR,2020-04-19 21:03:30,-26.79,-60.44,79.93,39,0,3.87,clear sky,0.0,0.0
Champerico,GT,2020-04-19 21:00:08,14.3,-91.92,87.49,55,13,8.63,few clouds,0.0,0.0
Saint-Paul,RE,2020-04-19 21:03:31,-21.01,55.27,75.2,73,13,14.99,light rain,0.13,0.0
Zambezi,ZM,2020-04-19 21:03:32,-13.54,23.1,65.37,62,49,4.88,scattered clouds,0.0,0.0
Paoua,CF,2020-04-19 21:03:32,7.24,16.44,77.81,56,86,8.77,overcast clouds,0.0,0.0
Aksha,RU,2020-04-19 21:03:33,50.28,113.29,20.1,79,99,9.26,overcast clouds,0.0,0.0
Namtsy,RU,2020-04-19 21:03:34,62.72,129.67,5.0,71,38,4.47,scattered clouds,0.0,0.0
Awjilah,LY,2020-04-19 21:03:35,29.11,21.29,71.4,24,57,4.38,broken clouds,0.0,0.0
Ilo,PE,2020-04-19 21:03:36,-17.64,-71.34,71.76,65,2,4.54,clear sky,0.0,0.0
Novikovo,RU,2020-04-19 21:03:37,51.15,37.89,39.9,68,44,0.49,scattered clouds,0.0,0.0
Bria,CF,2020-04-19 21:03:37,6.54,21.99,77.63,58,81,7.4,broken clouds,0.0,0.0
Dawson Creek,CA,2020-04-19 21:00:23,55.77,-120.24,60.8,29,1,13.87,clear sky,0.0,0.0
Ossora,RU,2020-04-19 21:03:39,59.24,163.07,18.68,90,99,11.27,overcast clouds,0.0,0.0
Flinders,AU,2020-04-19 21:03:40,-34.58,150.86,57.0,86,100,5.01,overcast clouds,0.0,0.0
Baykit,RU,2020-04-19 21:03:40,61.67,96.37,21.2,90,0,2.06,clear sky,0.0,0.0
Owando,CG,2020-04-19 21:03:41,-0.48,15.9,72.63,78,92,1.68,overcast clouds,0.0,0.0
Nihommatsu,JP,2020-04-19 21:03:42,37.58,140.43,45.0,66,100,2.44,light rain,1.41,0.0
Sept-Iles,CA,2020-04-19 20:59:29,50.2,-66.38,34.0,93,90,13.87,overcast clouds,0.0,0.0
Tacuarembo,UY,2020-04-19 21:01:01,-31.73,-55.98,73.08,50,0,7.05,clear sky,0.0,0.0
Loding,NO,2020-04-19 21:03:44,67.3,14.75,42.8,81,75,14.99,broken clouds,0.0,0.0
Rio Grande,BR,2020-04-19 21:00:18,-32.03,-52.1,77.0,53,20,13.87,few clouds,0.0,0.0
Sao Miguel Do Iguacu,BR,2020-04-19 21:03:45,-25.35,-54.24,82.4,51,0,3.36,clear sky,0.0,0.0
Rawson,AR,2020-04-19 21:03:46,-43.3,-65.1,65.5,28,97,13.67,overcast clouds,0.0,0.0
Komsomolskiy,UZ,2020-04-19 21:03:47,40.43,71.72,57.2,50,0,4.7,clear sky,0.0,0.0
Plettenberg Bay,ZA,2020-04-19 21:03:48,-34.05,23.37,67.96,59,0,1.74,clear sky,0.0,0.0
Naze,JP,2020-04-19 20:59:10,28.37,129.48,66.2,93,75,16.11,light rain,0.0,0.0
Falun,SE,2020-04-19 21:02:17,60.6,15.63,44.01,60,67,5.82,broken clouds,0.0,0.0
Abalak,RU,2020-04-19 21:00:41,58.13,68.59,37.62,76,81,3.67,broken clouds,0.0,0.0
Nyakahanga,TZ,2020-04-19 21:03:51,-1.6,31.14,58.06,63,95,1.52,overcast clouds,0.0,0.0
Krotoszyn,PL,2020-04-19 21:03:52,51.7,17.44,45.0,100,0,8.46,clear sky,0.0,0.0
Saint Marys,US,2020-04-19 21:02:53,30.73,-81.55,82.0,83,40,11.41,scattered clouds,0.0,0.0
Kedougou,SN,2020-04-19 21:03:53,12.56,-12.17,94.53,20,83,1.1,broken clouds,0.0,0.0
Batagay-Alyta,RU,2020-04-19 21:02:02,67.8,130.41,15.49,86,97,2.53,overcast clouds,0.0,0.0
Broken Hill,AU,2020-04-19 21:03:55,-31.95,141.43,68.0,32,90,18.34,overcast clouds,0.0,0.0
Alofi,NU,2020-04-19 21:03:55,-19.06,-169.92,82.4,78,61,5.82,broken clouds,0.0,0.0
Los Llanos De Aridane,ES,2020-04-19 21:03:56,28.66,-17.92,66.2,72,20,16.11,few clouds,0.0,0.0
Bashtanka,UA,2020-04-19 21:02:12,47.41,32.44,50.16,48,100,5.21,overcast clouds,0.0,0.0
Zlobin,HR,2020-04-19 21:03:58,45.29,14.65,63.0,66,100,7.0,light rain,0.38,0.0
Clinton,US,2020-04-19 21:02:06,42.59,-82.92,60.01,87,75,18.34,broken clouds,0.0,0.0
San Andres,CO,2020-04-19 21:03:59,12.58,-81.7,87.8,58,20,10.29,few clouds,0.0,0.0
Luebo,CD,2020-04-19 21:04:00,-5.35,21.42,70.03,83,100,1.07,overcast clouds,0.0,0.0
