City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
61,Hami,CN,2020-04-16 04:09:52,42.8,93.45,69.75,19,100,5.79
62,Pangnirtung,CA,2020-04-16 04:09:52,66.15,-65.71,12.47,86,98,8.5
63,Victoria,HK,2020-04-16 04:09:14,22.29,114.16,79.0,69,20,8.05
64,Najran,SA,2020-04-16 04:09:53,17.49,44.13,66.2,88,20,4.7
65,Mahebourg,MU,2020-04-16 04:09:54,-20.41,57.7,80.01,78,40,12.75
66,Esperance,AU,2020-04-16 04:09:54,-33.87,121.9,62.6,67,90,6.93
67,Hamilton,US,2020-04-16 04:09:54,39.18,-84.53,35.6,59,1,6.93
68,Guerrero Negro,MX,2020-04-16 04:09:54,27.98,-114.06,66.51,52,0,17.11
69,Taki,IN,2020-04-16 04:09:54,22.59,88.92,73.4,94,40,10.29
70,Tautira,PF,2020-04-16 04:05:35,-17.73,-149.15,87.8,62,19,3.36
71,Melo,UY,2020-04-16 04:09:55,-32.37,-54.18,52.27,89,0,10.67
72,Severo-Kurilsk,RU,2020-04-16 04:09:55,50.68,156.12,33.21,91,100,14.67
73,Sambava,MG,2020-04-16 04:09:55,-14.27,50.17,74.8,83,19,9.08
74,Vojens,DK,2020-04-16 04:09:56,55.25,9.31,46.4,87,75,11.41
75,Bluff,NZ,2020-04-16 04:09:56,-46.6,168.33,52.0,80,98,14.0
76,Tuktoyaktuk,CA,2020-04-16 04:09:56,69.45,-133.04,26.6,92,90,3.36
77,Klaksvik,FO,2020-04-16 04:09:56,62.23,-6.59,41.0,75,29,10.29
78,Mezen,RU,2020-04-16 04:09:57,65.85,44.24,35.26,86,96,11.92
79,Geraldton,AU,2020-04-16 04:08:28,-28.77,114.6,80.6,32,10,13.87
80,Port Elizabeth,ZA,2020-04-16 04:09:57,-33.92,25.57,59.0,82,94,10.29
81,Castro,BR,2020-04-16 04:09:58,-24.79,-50.01,48.11,48,0,2.08
82,Sao Joao Da Barra,BR,2020-04-16 04:09:58,-21.64,-41.05,75.6,92,100,2.51
83,Pevek,RU,2020-04-16 04:09:58,69.7,170.31,12.88,93,100,1.5
84,Puerto Ayora,EC,2020-04-16 04:09:58,-0.74,-90.35,81.0,84,98,4.0
85,Karak,JO,2020-04-16 04:09:58,31.17,35.75,57.96,41,0,5.23
86,Korla,CN,2020-04-16 04:09:59,41.76,86.15,67.14,24,100,8.99
87,College,US,2020-04-16 04:09:59,64.86,-147.8,48.2,49,75,0.58
88,Portland,US,2020-04-16 04:09:30,45.52,-122.68,62.6,51,75,13.87
89,East London,ZA,2020-04-16 04:09:59,-33.02,27.91,60.8,82,67,9.17
90,Waingapu,ID,2020-04-16 04:09:59,-9.66,120.26,84.24,74,100,7.87
91,Constitucion,CL,2020-04-16 04:10:00,-35.33,-72.42,53.31,75,92,3.8
92,Qaanaaq,GL,2020-04-16 04:10:00,77.48,-69.36,5.05,86,62,3.8
93,Moose Factory,CA,2020-04-16 04:10:00,51.26,-80.61,17.6,57,20,5.82
94,San Cristobal,VE,2020-04-16 04:10:00,7.77,-72.22,68.67,57,33,1.21
95,Normal,US,2020-04-16 04:07:50,40.51,-88.99,34.0,86,40,3.36
96,Saint Marys,US,2020-04-16 04:08:36,30.73,-81.55,62.6,88,90,13.87
